grid_lat,grid_lon,hour,day_of_week,crash_count,avg_severity,total_injured,total_killed
10176,-18503,0,1,3,0.0,0.0,0.0
10176,-18503,0,2,4,0.25,1.0,0.0
10176,-18503,0,3,8,0.25,2.0,0.0
10176,-18503,0,4,5,0.4,2.0,0.0
10176,-18503,0,5,7,0.0,0.0,0.0
10176,-18503,0,6,2,0.0,0.0,0.0
10176,-18503,1,2,3,0.3333333333333333,1.0,0.0
10176,-18503,1,4,1,0.0,0.0,0.0
10176,-18503,1,5,3,0.6666666666666666,2.0,0.0
10176,-18503,1,6,1,1.0,1.0,0.0
10176,-18503,2,0,3,0.0,0.0,0.0
10176,-18503,2,1,1,0.0,0.0,0.0
10176,-18503,2,2,1,0.0,0.0,0.0
10176,-18503,2,3,1,1.0,1.0,0.0
10176,-18503,2,4,2,0.0,0.0,0.0
10176,-18503,2,5,3,0.0,0.0,0.0
10176,-18503,2,6,1,0.0,0.0,0.0
10176,-18503,3,0,1,0.0,0.0,0.0
10176,-18503,3,2,1,0.0,0.0,0.0
10176,-18503,3,5,3,0.6666666666666666,2.0,0.0
10176,-18503,3,6,2,0.0,0.0,0.0
10176,-18503,4,0,1,0.0,0.0,0.0
10176,-18503,4,2,1,0.0,0.0,0.0
10176,-18503,4,3,3,0.0,0.0,0.0
10176,-18503,4,4,1,1.0,1.0,0.0
10176,-18503,4,5,2,0.0,0.0,0.0
10176,-18503,4,6,2,0.5,1.0,0.0
10176,-18503,5,0,1,0.0,0.0,0.0
10176,-18503,5,1,1,0.0,0.0,0.0
10176,-18503,5,2,2,0.5,1.0,0.0
10176,-18503,5,3,3,0.0,0.0,0.0
10176,-18503,5,4,2,0.0,0.0,0.0
10176,-18503,5,5,2,0.5,1.0,0.0
10176,-18503,5,6,4,0.5,2.0,0.0
10176,-18503,6,0,2,0.0,0.0,0.0
10176,-18503,6,1,3,0.3333333333333333,1.0,0.0
10176,-18503,6,3,6,0.16666666666666666,1.0,0.0
10176,-18503,6,4,3,0.0,0.0,0.0
10176,-18503,6,5,2,0.5,1.0,0.0
10176,-18503,6,6,5,0.0,0.0,0.0
10176,-18503,7,0,4,0.0,0.0,0.0
10176,-18503,7,1,5,0.2,1.0,0.0
10176,-18503,7,2,8,0.0,0.0,0.0
10176,-18503,7,3,4,0.0,0.0,0.0
10176,-18503,7,4,7,0.14285714285714285,1.0,0.0
10176,-18503,7,5,2,0.0,0.0,0.0
10176,-18503,7,6,1,0.0,0.0,0.0
10176,-18503,8,0,10,0.1,1.0,0.0
10176,-18503,8,1,8,0.375,3.0,0.0
10176,-18503,8,2,11,0.09090909090909091,1.0,0.0
10176,-18503,8,3,4,0.0,0.0,0.0
10176,-18503,8,4,7,0.0,0.0,0.0
10176,-18503,8,5,4,0.0,0.0,0.0
10176,-18503,8,6,4,0.5,2.0,0.0
10176,-18503,9,0,9,0.1111111111111111,1.0,0.0
10176,-18503,9,1,12,0.16666666666666666,2.0,0.0
10176,-18503,9,2,16,0.0,0.0,0.0
10176,-18503,9,3,19,0.15789473684210525,3.0,0.0
10176,-18503,9,4,12,0.16666666666666666,2.0,0.0
10176,-18503,9,5,3,0.0,0.0,0.0
10176,-18503,9,6,6,0.16666666666666666,1.0,0.0
10176,-18503,10,0,13,0.07692307692307693,1.0,0.0
10176,-18503,10,1,14,0.14285714285714285,2.0,0.0
10176,-18503,10,2,17,0.058823529411764705,1.0,0.0
10176,-18503,10,3,13,0.15384615384615385,2.0,0.0
10176,-18503,10,4,13,0.0,0.0,0.0
10176,-18503,10,5,6,0.16666666666666666,1.0,0.0
10176,-18503,10,6,2,1.0,2.0,0.0
10176,-18503,11,0,13,0.0,0.0,0.0
10176,-18503,11,1,10,0.1,1.0,0.0
10176,-18503,11,2,7,0.0,0.0,0.0
10176,-18503,11,3,22,0.18181818181818182,4.0,0.0
10176,-18503,11,4,21,0.23809523809523808,5.0,0.0
10176,-18503,11,5,7,0.0,0.0,0.0
10176,-18503,11,6,7,0.7142857142857143,5.0,0.0
10176,-18503,12,0,14,0.42857142857142855,6.0,0.0
10176,-18503,12,1,11,0.0,0.0,0.0
10176,-18503,12,2,23,0.13043478260869565,3.0,0.0
10176,-18503,12,3,17,0.0,0.0,0.0
